Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/24/2020|Wafer fab, assembly, and test operations|Finger Lakes Region|Semiconductor Components Industries LLC dba ON Semiconductor|104|7/30/2020 and 10/30/2020|Economic|Plant Closing
4/22/2020|Air Compressor Manufacturer|Long Island Region|Quincy Compressor, LLC|20|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/21/2020|Hotel|New York City Region|Highgate Hotels, L.P. dba The Maxwell Hotel NYC|397|4/25/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Closing
4/3/2020|Diagnostic Imaging Center|New York City Region|Mid Rockland Imaging Partners, Inc.|74|Layoffs occurred between 3/25/2020 and 4/1/2020.|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/22/2020|Waste Services and Material Recycling|New York City Region|Action Environmental Systems, LLC|55|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff/Plant Layoff
4/3/2020|Security Services|New York City Region|Global Operations Security Services, Inc.|115|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|144 PQ 97th Street, Inc.|32|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Wolf on Broadway LLC dba Wolfgang's Steakhouse|67|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|Wolf Westside LLC dba Wolfgang's Steakhouse|76|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Hotel|New York City Region|The Surrey Hotel|110|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Manufacturing|Finger Lakes Region|Aludyne New York|103|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Funburger Corporation dba Curry-Ya|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Restaurant|New York City Region|Major Dough Soho 463 LLC|68|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|BC Hospitality Group LLC|3|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|E2 60 West 22nd Street LLC|24|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|E2 185 Bleecker LLC|21|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|BC 1385 Broadway LLC|15|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|CW SSS LLC|16|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|E2 Lafayette LLC|24|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|BC Union Square LLC|18|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|BC 630 Lexington LLC|12|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|BCRC LLC|26|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|BC Williamsburg LLC|17|3/23/2020|EconomicUnforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Bakery|New York City Region|Zaro's Family Bakery|64|7/19/2020|Relocation|Plant Closing
