Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
3/16/2020|Restaurant|New York City Region|Lexington Project Managers, LLC dba Lexington Brass|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York City Region|Moose Goose Holding Inc. dba The Grey Dog|32|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Restaurant|New York City Region|Moose Goose Holding Inc. dba The Grey Dog|39|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Restaurant|New York City Region|Moose Goose Holding Inc. dba The Grey Dog|31|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/7/2020|Hotel|Long Island Region|Crestline Hotels & Resorts Hilton Garden Inn Islip/MacArthur Airport|34|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Hotel|New York City Region|Hotel Pennsylvania|410|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/29/2020|Restaurant|New York City Region|Major Food Group (MFG) 375 Park Food LLC|176|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/7/2020|Airline|Long Island Region|Avianca|5|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Manhattan Luxury Automobiles, Inc.|59|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Cleaning Services|New York City Region|Building Maintenance Service LLC|206|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Realty|New York City Region|Vornado Two Penn Plaza LLC|31|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Realty|New York City Region|Broadway Park Fee LLC|40|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Realty|New York City Region|Eleven Penn Plaza LLC|34|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Realty|New York City Region|Ninety Park Property LLC|31|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Realty|New York City Region|VNO 100 West 33rd Street LLC|42|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|Mid-Hudson Region|Westchester Toyota Westchester Foreign Autos, Inc.|100|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Bay Ridge Chevrolet Inc.|39|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|Skyline Automobiles, Inc. - New York City Region|Toyota of Manhattan|75|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Bay Ridge Nissan, Inc.|96|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Bay Ridge Foreign Autos, Inc.|70|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Auto Dealership|Western Region|Heinrich Chevrolet Corp.|72|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York - New York City Region|Morton's of Chicago/Fifth Ave. dba Morton's|69|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Rock Center NY - New York City Region|Hamburger Intermediary, LLC dba Bill's Bar & Burger|141|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Meatpacking NY - New York City Region|B.R. Guest Holdings, LLC dba Dos Caminos|96|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Times Square - New York City Region|B.R. Guest Holdings, LLC dba Dos Caminos|131|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Layoff
4/8/2020|Restaurant|Park Ave NY - New York City Region|B.R. Guest Holdings, LLC dba Dos Caminos|83|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York - New York City Region|B.R. Guest Holdings, LLC dba Blue Fin|129|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Downtown - New York City Region|B.R. Guest Parent Holdings, LLC dba Bill's Bar & Burger|100|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Fordham Toyota (Fordham Auto Sales, LLC)|74|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Auto Dealership|New York City Region|Bay Ridge Toyota (Bay Ridge Motor Sales, Inc.)|105|4/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|New York - New York City Region|McCormick & Schmick Restaurant Corp. dba Mastro's Steakhouse|120|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Shoe Store|Mohawk Valley Region|Macro Retailing LLC, dba Super Shoes|15|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Shoe Store|Capital Region|Macro Retailing LLC dba Super Shoes|17|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Shoe Store|North Country Region|Macro Retailing LLC dba Super Shoes|12|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|Long Island Region|Miller's Ale House, Inc.|93|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|Long Island Region|Miller's Ale House, Inc.|95|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|Long Island Region|Miller's Ale House, Inc.|94|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|Long Island Region|Miller's Ale House, Inc.|92|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Restaurant|New York City Region|Miller's Ale House, Inc.|70|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Auto Dealership|Capital Region|Keeler Motor Car Company|-----|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/9/2020|Home Health Care|Western Region|Venture Forthe, Inc.|6|4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Home Health Care|Western Region|Venture Forthe, Inc.|3|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Home Health Care|Western Region|Venture Forthe, Inc.|5|4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Home Health Care|Finger Lakes Region|Venture Forthe, Inc.|6|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|246 Spring Street NY LLC dba The Dominick||48 employees will be separated on 3/19/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Auction House|New York City Region|Bonhams|22|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/29/2020|Hotel|New York City Region|Major Food Group (MFG) Ludlow Hotel Food & Beverage, LLC|81|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/7/2020|Airline|New York City Region|Air Canada|69|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Computer Networking|New York City Region|Arista|172|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Hotel|New York City Region|The Courtyard by Marriott Times Square|75|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Concrete Supplier|Mohawk Valley Region|Callanan Industries, Inc.|14|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Hotel|New York City Region|Fairfield Inn & Suites New York Manhattan/Financial District|40|3/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Restaurant|New York City Region|Juicerie LLC dba The Butcher's Daughter|43|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Restaurant|New York City Region|Juicerie 3 LLC dba The Butcher's Daughter|22|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Cement Plant|Capital Region|Lehigh Cement Company LLC|54|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Transportation and Logistics|Central Region|Keith Titus Corporation|58|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/14/2020|Investment Services|Long Island Region|Sharestates, Inc.|18|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Auto Shop|Finger Lakes Region|Monroe County Automotive Services Inc.|129  (Total across all sites)|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/13/2020|Restaurant|New York City Region|Wonton Food Inc.|-----|4/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/13/2020|Restaurant|Long Island Region|Wonton Food Inc.|-----|4/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/9/2020|Ophthalmologist|Long Island Region|VSP Global|176 (total from all sites)|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Restaurant|Long Island Region|Juicerie IV LLC dba The Butcher's Daughter|42|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Airport Services|Long Island Region|PrimeFlight Aviation Services, Inc.|195|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Retail|New York City Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Long Island Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Mid-Hudson Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Western Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|3/27/2020|Retail|Capital Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Mohawk Valley Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Central Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|North Country Region|A&M Administration LLC dba Charlotte Russe|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Dentist|Western Region|North American Dental Group|-----|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Dentist|Mid-Hudson Region|North American Dental Group|-----|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Dentist|Southern Region|North American Dental Group|-----|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Dentist|Finger Lakes Region|North American Dental Group|-----|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Paper Retailer|New York City Region|Paper Source|163 (total all NYC sites)|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Paper Retailer|Mid-Hudson Region|Paper Source|21 (Total from sites)|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Paper Retailer|Long Island Region|Paper Source|9|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/29/2020|Restaurant|Parm Battery Park LLC - New York City Region|Major Food Group (MFG)|52|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/9/2020|Medical Facility|Mohawk Valley Region|Slocum Dickson Medical Group, PLLC|23|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Musical Instrument Sales|New York City Region|Guitar Center Inc.|154|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/9/2020|Aviation consultant|Long Island Region|Allied New York Services, Inc.|226|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Restaurant|Capital Region|Buca Restaurants. Inc. dba Buca di Beppo|35|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Leather Wholesaler|Mohawk Valley Region|Townsend Leather Company|61|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Retail|Long Island Region|Tiger Retail Coast, LLC dba Flying Tiger Copenhagen|62 (Total across all locations)|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Retail|Long Island Region|Tiger Retail Coast, LLC dba Flying Tiger Copenhagen|(62 total across all locations)|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Software Company|Long Island Region|Button, Inc.|44|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Restaurant|New York City Region|The Marlow Collective dba Diner|25|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|The Marlow Collective dba Marlow & Sons|26|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|The Marlow Collective, 243 Dekalb Ave. Rest. Corp. dba Roman's|27|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/29/2020|Restaurant|New York City Region|Major Food Group (MFG)  Parm Upper West LLC|48|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Auto Dealership|Long Island Region|Hassett Lincoln Merc Sales Inc.|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/30/2020|Restaurant|New York City Region|The Marlow Collective dba Achilles Heel|14|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Retail|Long Island Region|Tourneau, LLC|49|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Asphalt Contractor|Finger Lakes Region|Dolomite Products Co., Inc.|5|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Home Health Care|Western Region|Venture Forthe, Inc.|3|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Home Health Care|Southern Region|Venture Forthe, Inc.|2|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Hotel|Long Island Region|Marriott Hotel Services, Inc. dba Long Island Marriott Hotel and Conference Center (Uniondale)|211|4/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/29/2020|Restaurant|New York City Region|Major Food Group (MFG) Highline Restaurant LLC|73|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/22/2020|Restaurant|New York City Region|OTG JFK T5 Venture, LLC|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant| Horseheads - Southern Region|New York Friendly's Restaurant|32|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/3/2020|Restaurant|New York City Region|Olga Street Ltd. dba Lucky Strike|26|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Hotel|New York City Region|Trump International Hotel & Tower Condominium dba Trump International Hotel & Tower New York|70|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Hotel|New York City Region|The Mark Hotel|154|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|New York City Region|The Penn Club of New York|60|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Restaurant|New York City Region|TG 29 Hospitality, LLC dba Royalton Park Avenue|73|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|New York City Region|1 Hotel Central Park|146|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/6/2020|Public relations|New York City Region|Karla Otto, Inc.|28|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Hotel| Courtyard by Marriott Central Park Hotel - New York City Region|Residence Inn|158|3/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/6/2020|Theatre Company|New York City Region|Nederlander Productions, Inc.|12|4/5/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Movie Theater|New York City Region|Reading International dba Angelika Theatre|34|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Employment Agency|New York City Region|Michael Page International Inc.|84|4/8/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Hotel|North Country Region|Christopher's Restaurant Inc. dba Comfort Inn and Suites, Eclipse Fitness and Spa, Perkins, Plattsburgh Brewing Company, Champ's Fun City|131|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Accounting and Financial Services|New York City Region|Weisman Enterprises LLC (4 locations)|78|3/25/2020|Economic|Temporary Plant Closing
4/3/2020|Restaurant|New York City Region|China Management LLC (2 locations)|57|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Movie Theater|New York City Region|Village East and City Cinemas 123 Theatres (2 Locations)|55|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Countertop Sales|Central Region|Wilbedone dba Stone Central (2 locations)|60|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Car dealership|Long Island Region|Security Dodge Chrysler Jeep Ram|85|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/29/2020|Custom fabricator of architectural metal|New York City Region|Bufkin Enterprises, Ltd.|12|3/29/2020 and 4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/9/2020|Auto Dealership|New York City Region|Bayside CJ LLC|65|3/19/2020, 3/20/2020, 3/21/2020, and 3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Auto dealership|New York City Region|Metro Chrysler Plymouth Inc. dba Star Chrysler Dodge Jeep Ram SRT Fiat|55|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/6/2020|Auto Body Shop|New York City Region|Gabriel's Collision Long Island City, Inc. dba Gotham City Collision|29|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Auto Body Shop|New York City Region|Gotham City Collision Corp.|21|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Hotel|Central Region|Crestline Hotels & Resorts dba Courtyard Syracuse Downtown at Armory Square and Residence Inn Syracuse Downtown|36|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Fire Prevention/Sprinkler Services|Long Island Region|STAT Fire Sprinkler, Inc.|52|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Rai Rai Ken Corporation dba Rai Rai Ken|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Lucky Riceburger Ltd. dba Curry-Ya|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Kuni's Corporation dba Ikinari Steak/Pepper Lunch (4 locations)|75|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Auto Sales|Long Island Region|TC Jeep Inc.|42|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Auto Sales|Mid-Hudson Region|Romeo Chevrolet Buick GMC|39|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Auto Sales|Mid-Hudson Region|Romeo Ford of Kingston|32|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Auto Sales|Capital Region|Ro-Zap Enterprises, Inc. dba Carriage Traders|59|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Hotel|Western Region|DSM California, LLC and Foroz Associates, LLC  dba Holiday Inn|57|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Manufacturer|Mid-Hudson Region|AMETEK Rotron|268|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Hunting Club|Long Island Region|Rockaway Hunting Club|34|4/5/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Catering|New York City Region|In Good Company HG Inc.|28|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Financial Institution|Long Island Region|Reliant Services Group, LLC dba Reliant Funding|18|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Catering|New York City Region|Borenstein Caterers, Inc.|33|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Retail|Long Island Region|A&M (2015) LLC dba Mandee (10 Long Island locations)|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Retail|Mid-Hudson Region|A&M (2015) LLC dba Mandee|-----|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|Long Island Region|FBJ 74, LLC dba Coche Comedor Restaurant|20|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Restaurant|Long Island Region|Townline BBQ, LLC|11|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Restaurant|Long Island Region|What Do You Want To Eat, Inc. dba Rowdy Hall|28|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Auto Dealership|Finger Lakes Region|Ide Volkswagen, Inc. dba Ide Volkswagen|19|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Marketing|Long Island Region|Wilbur International, Inc.|99|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Commercial Printing|New York City Region|Stellar Printing, Inc.|121|7/12/2020|Sale of Business|Temporary Plant Layoff
4/7/2020|Auto Dealership|Finger Lakes Region|Ide Pontiac, Inc. dba Ide Honda (3 locations)|63|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|4/7/2020|Restaurant|New York City Region|125 W. 44 Restaurant Associates, LLC dba Hunt & Fish Club|73|3/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/6/2020|Optical Retailer|Long Island Region|ClearVision Optical Company Inc.|61|4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Hotel|New York City Region|KHRG Muse LLC dba The Muse Hotel|101|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Restaurant|New York City Region|NoHo Hospitality LLC|37|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Ski Resort|Capital Region|Hunter Mountain Ski Bowl Inc.|47|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Cleaning and Flooring|Long Island Region|W Services Group, LLC|35|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|Mid-Hudson Region|Spotted Dog Ventures LLC dba Emerson Resort & Spa|147|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Hydraulic Repair Service|Western Region|Fairview USA Inc.|13|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Hotel|New York City Region|Hotel Indigo Lower East Side New York|62|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Iron Manufacturer|New York City Region|Milgo Industrial, Inc.|43|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary  Plant Closing
4/2/2020|Restaurant|Central Region|The Johnny Rockets Group, Inc.|36|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Contracting|Long Island Region|Cord Contracting Co., Inc.|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/9/2020|Courier Service|New York City Region|Breakaway Courier Corporation|45|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Hotel|New York City Region|InterContinental New York Barclay|342|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Façade Manufacturing|Western Region|GAMMA North|46|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Manufacturing|New York City Region|Brooklyn Brewery Corporation|66|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Duck Farming|Long Island Region|H.F. Corwin & Son, Inc.|14|4/11/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Healthcare Center|New York City Region|Morris Heights Health Center|115|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/9/2020|Online Recommendations|New York City Region|Yelp Inc.|590|4/10/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant  Layoff
4/7/2020|Excavation, Pile Drilling, and Foundations|New York City Region|ECD NY Inc.|75|4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Restaurant|Long Island Region|Westbury Manor Enterprises, Inc.|111|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Restaurant|New York City Region|Nobu 57 LLC dba Nobu New York Fifty Seven|239|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/8/2020|Restaurant|New York City Region|Nobu 195 LLC, dba Nobu New York Downtown|175|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Auto Sales|Long Island Region|Browns of Bellport, Inc.|86|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
